frame,time,MET_X1,MET_Y1,HEEL_X1,HEEL_Y1,MALLEOL_X1,MALLEOL_Y1,FIBULA_X1,FIBULA_Y1,FEM_ALT_X1,FEM_ALT_Y1,FEM_UST_X1,FEM_UST_Y1,ASIS_X1,ASIS_Y1,ACR_X1,ACR_Y1,knee_angle,hip_angle,ankle_angle,derivative_knee_angle,derivative_hip_angle,derivative_ankle_angle,acceleration_knee_angle,acceleration_hip_angle,dacceleration_erivative_ankle_angle
59,1.51712,16.77312531,3.662194221,29.65319145,6.136375364,24.72978066,10.6097488,3.843054915,34.59340084,1.218640723,39.90703706,37.62065013,44.80977231,34.03787961,52.44226647,7.79,86.2,55.2144696138331,119.213638134952,58.4558124246434,0.114800749093675,0.428950136684108,0.112704833870339,0.10059782226277,-0.0111142660715302,0.180576480021983
60,1.524016,16.78766376,3.642771283,29.65325613,6.135710387,24.72957896,10.61202601,3.98803533,34.44895739,1.219552672,39.90097426,37.59539029,44.83502978,34.29397392,53.34493316,7.61,86.5,55.4139091964762,119.624118687351,58.7179104224658,0.199439582643151,0.410480552399207,0.262097997822394,0.0846388335494765,-0.018469584284901,0.149393163952055
61,1.530912,16.78456971,3.646938067,29.65326788,6.133711549,24.72970624,10.61357772,3.987498365,34.73838126,1.225996018,39.91673227,37.61437948,44.88961661,34.2937348,53.47381723,7.79,86.7,55.6696323901088,120.001654615081,59.0684266335024,0.255723193632548,0.37753592773025,0.350516211036563,0.0562836109893965,-0.0329446246689571,0.0884182132141689
62,1.537808,16.784578,3.648174143,29.65330536,6.140861856,24.73122423,10.61025144,3.98803533,34.44895739,1.216626583,39.91202343,37.61033956,45.13079204,34.29301745,53.86046942,7.61,86.9,55.9511656036851,120.329748709299,59.4420009443948,0.281533213576353,0.328094094217917,0.373574310892451,0.0258100199438047,-0.0494418335123328,0.0230580998558878
63,1.544704,16.78561432,3.646383404,29.65332687,6.134914181,24.7320529,10.61042218,3.98803533,34.44895739,1.215740759,39.90725467,37.57709845,45.36207116,34.16461162,53.60246217,7.42,87.8,56.233294128165,120.593539643532,59.7841794185523,0.282128524479887,0.263790934233057,0.342178474157464,0.000595310903534596,-0.0643031599848598,-0.0313958367349869
64,1.5516,16.77682656,3.658659865,29.65332848,6.137883096,24.73337227,10.61457348,3.987229883,34.88309319,1.223937492,39.92674996,37.59230852,45.48390632,34.42237975,53.60294041,7.24,87.6,56.499907828672,120.777666036839,60.0572661778174,0.266613700506937,0.184126393307295,0.273086759265169,-0.0155148239729499,-0.0796645409257621,-0.0690917148922949
65,1.558496,16.78477465,3.647012493,29.65339544,6.138248074,24.73334426,10.60995758,3.988572294,34.15953353,1.213755902,39.9222385,37.58552869,45.70285228,33.77676384,54.24616515,7.06,87.5,56.7454621047921,120.867345743477,60.2423779192428,0.245554276120103,0.0896797066375399,0.185111741425331,-0.0210594243868343,-0.0944466866697553,-0.0879750178398382
66,1.565392,16.78618067,3.646352309,29.65339923,6.138083068,24.73257009,10.61071479,3.6980745,34.73784429,1.21013433,39.92089445,37.59297997,46.07034217,33.00250298,54.7602667,6.51,87.6,56.9722691822356,120.8559013634,60.3372649724085,0.226807077443553,-0.0114443800764832,0.0948870531657491,-0.0187471986765502,-0.101124086714023,-0.0902246882595819
67,1.572288,16.77681458,3.657258152,29.65341414,6.136974574,24.73227031,10.61413606,3.987229883,34.88309319,1.218013998,39.92941296,37.54437686,46.24185196,33.13138705,54.76050582,6.51,88.2,57.1871266510841,120.748272685825,60.3514647923085,0.214857468848521,-0.107628677575732,0.0141998198999573,-0.0119496085950317,-0.0961842974992493,-0.0806872332657917
68,1.579184,16.78565434,3.646858015,29.6534293,6.143136424,24.73103554,10.61318951,3.84251795,34.88282471,1.212772013,40.05480129,37.56697423,46.60903955,33.25931465,55.2762812,7.24,89.3,57.4023219872813,120.554630692017,60.3046227470411,0.215195336197127,-0.193641993807617,-0.0468420452673683,0.000337867348605414,-0.0860133162318846,-0.0610418651673257
69,1.58608,16.78762606,3.642825315,29.65346765,6.135319962,24.73007229,10.61243738,3.987766847,34.59366933,0.8868001755,40.54179899,37.55044951,46.97024413,33.25835818,55.79181745,7.42,89.3,57.6341041413172,120.281808223791,60.2243965216,0.231782154035912,-0.272822468225911,-0.0802262254411374,0.0165868178387854,-0.079180474418294,-0.0333841801737691
70,1.592976,16.78776068,3.643200566,29.65352615,6.136684353,24.72874961,10.61519157,3.84251795,34.88282471,1.375004065,40.21763644,37.38156956,47.57634836,33.38795959,55.40540438,7.05,89.8,57.8950706776483,119.932037477528,60.1388422613861,0.260966536331182,-0.349770746262806,-0.0855542602138399,0.02918438229527,-0.0769482780368946,-0.00532803477270249
71,1.599872,16.78449389,3.64946124,29.65356757,6.134820327,24.72853822,10.6145092,3.84251795,34.88282471,1.049635321,40.37956694,37.26647369,47.69101795,33.25764083,56.17846965,6.87,90,58.191686386214,119.507509690315,60.0690275617733,0.296615708565653,-0.424527787213322,-0.0698146996128628,0.0356491722344714,-0.0747570409505158,0.0157395606009771
72,1.606768,16.78434019,3.643806436,29.65359594,6.711787748,24.72870052,10.61458522,3.987229883,34.88309319,1.049333774,40.54210054,37.25005376,48.10058499,33.25835818,55.79181745,7.23,91.1,58.5282187722309,119.013715123613,60.0303826243608,0.336532386016941,-0.493794566702363,-0.0386449374124425,0.0399166774512878,-0.0692667794890411,0.0311697622004203
